央视,#genre#
青海安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8
四川康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8
凤凰卫视,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
影视,#genre#
CCTV6电影,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV6电影HD,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV6电影HD,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv6_2/index.m3u8
CCTV6电影HD,http://cctvalih5ca.v.myalicdn.com/live/cctv6_2/index.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京影视HD,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
峨眉电影,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
CHC蓝光电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
CHC动作电影,http://125.210.152.18:9090/live/DZDYHD_H265.m3u8
NewTV动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
欧美影院,http://101.71.255.229:6610/zjhs/2/10037/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10037&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=Q894B3E8EEZ3T19UG09L8B03GSWB&ts=1553493266
BEST电影,http://101.71.255.229:6610/zjhs/2/10037/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
精彩电影4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8
轮播,#genre#
欢笑剧场4K,http://39.134.39.38/PLTV/88888888/224/3221226203/index.m3u8
陈翔六点半,http://tx2play1.douyucdn.cn/live/2132902rRQ5ehdor.xs
陈翔六点半,http://121.51.249.53/tx.hls.huya.com/src/1352054947-1352054947-5807031779760013312-2704233350-10057-A-0-1-imgplus.m3u8
陈翔六点半,http://ws.flv.huya.com/src/1352054947-1352054947-5807031779760013312-2704233350-10057-A-0-1.flv
开心情景剧,http://tx2play1.douyucdn.cn/6648727rufz9EgZB.xs
林正英僵尸,http://tx2play1.douyucdn.cn/218859r7wrRDulDC.xs
林正英僵尸鬼片,http://tx2play1.douyucdn.cn/live/9275635rggcVOC6m.xs
【电影可乐】 欧美 电影 科幻 经典 动作,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.xs
香港赌片 吃米滴虫,http://tx2play1.douyucdn.cn/live/315457rKVDx61O3D.xs
热血动漫,http://tx2play1.douyucdn.cn/206858rtesHKjl.xs
经典港剧天地,http://tx2play1.douyucdn.cn/4290711r58wJsHRc.xs
贝爷影厅,http://tx2play1.douyucdn.cn/252802ryboKvsRTt.xs
【冰冰】恐怖/经典/搞笑,http://tx2play1.douyucdn.cn/74374rP9cjM7e5jr.xs
爱情公寓,http://tx2play1.douyucdn.cn/live/4587723rXXOFfYfb.xs
爱情公寓,http://tx2play1.douyucdn.cn/live/9638983rxIqZcW50.xs
爱情公寓1＆3,http://tx2play1.douyucdn.cn/2838296ra0eBVzI1.xs
爱情公寓1＆3,http://tx2play1.douyucdn.cn/live/6863367rKhtMDkg8.xs
爱情公寓1＆3,http://tx2play1.douyucdn.cn/live/5062195rTRD0MZXe.xs
华语经典,http://tx2play1.douyucdn.cn/live/85894rmovieChow.xs
粤语原声 经典喜剧动作,http://tx2play1.douyucdn.cn/live/6566671rtB7hnzM9.xs
欧美大片,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.xs
邵氏影院,http://tx2play1.douyucdn.cn/live/4246519rosxSsVn4.xs
贝尔求生,http://tx2play1.douyucdn.cn/live/454867rgOgz90mv1.xs
荒野求生,http://tx2play1.douyucdn.cn/live/1339207rjWUwGcqS.xs
纪录片,http://tx2play1.douyucdn.cn/live/4360438rtgjIMfeP.xs
港剧直播,http://tx2play1.douyucdn.cn/live/4549169rv4OKGN7X.xs
丧尸鬼片恐怖,http://tx2play1.douyucdn.cn/live/96577rvngpvSetg5.xs
带你看大片,http://tx2play1.douyucdn.cn/live/2758565rTRfItrI5.xs
素颜话多,http://tx2play1.douyucdn.cn/live/8861179rOP5S3GA9.xs
海绵与大星,http://tx2play1.douyucdn.cn/live/2250349rXUmshhVo.xs
一起看恐怖片,http://tx2play1.douyucdn.cn/live/9412287rEl3UrHgL.xs
刘能赵四谢广坤,http://tx2play1.douyucdn.cn/live/9356342rcsUTq3S2.xs
喜剧科幻,http://tx2play1.douyucdn.cn/live/6537888rtsthXrZB.xs
蓝光高分,http://tx2play1.douyucdn.cn/live/52787r8ZChaEsamQ.xs
全新片单,http://tx2play1.douyucdn.cn/live/3637778raLSXdOdu.xs
